,Date,Tweet,Stock Name,Company Name,Sentiment,Negative,Neutral,Positive
37421,2021-09-30 01:16:13+00:00,"In other words, AMD has been giving Tesla preferential treatment bc it knows that most of the legacy OEMs will be gone in a few years. Very smart.

$TSLA https://t.co/XvkJhCd4VQ",TSLA,"Tesla, Inc.",positive,0.027548932,0.22932611,0.74312496
37420,2021-09-30 01:38:26+00:00,"Get ready for a $TSLA _ _ _ _ _ _  Q3 delivery number.

Have ur own answer below 👇🏻",TSLA,"Tesla, Inc.",neutral,0.053047564,0.78710663,0.15984574
37419,2021-09-30 01:59:02+00:00,Hold. On. Tight. $TSLA,TSLA,"Tesla, Inc.",neutral,0.12256133,0.78897494,0.088463716
37418,2021-09-30 02:40:26+00:00,"I agree with @freshjiva that $TSLA ‘s EV business alone is worth &gt; $1,100/sh w/o FSD. Where we likely disagree: It’s the marginal ROIC (MROIC) that matters more than the 23% avg ROIC, which is based on invested capital book value. MROIC is the FCF return on cash or market value. https://t.co/kos78KiDuj",TSLA,"Tesla, Inc.",neutral,0.12793128,0.6046199,0.26744878
37416,2021-09-30 03:14:53+00:00,"https://t.co/SvBdJVrYUW - What Elon Musk JUST Said (highlights) SUPERCUT!

NEW

$TSLA #Tesla @Tesla @elonmusk #ElonMusk #Psychedelics https://t.co/tcWIzL98Mn",TSLA,"Tesla, Inc.",positive,0.0125119295,0.28269932,0.70478874
37415,2021-09-30 04:01:09+00:00,"If humans could tell the difference between lies and facts there would be no lies.

The media industry is far more powerful than most people realize.
$TSLA

But the dam is cracking.

You’re gonna love me someday.

Love

Dad https://t.co/DS38Hw2BxX",TSLA,"Tesla, Inc.",positive,0.109283045,0.3307548,0.55996215
37414,2021-09-30 04:11:31+00:00,"*TESLA PLANT IN GERMANY TO GET OVERALL APPROVAL

$TSLA",TSLA,"Tesla, Inc.",neutral,0.031855386,0.8153544,0.1527902
37412,2021-09-30 04:39:43+00:00,"*CHAMATH PALIHAPITIYA SAYS HE SOLD HIS TESLA POSITION: CNBC

$TSLA https://t.co/Kfsfi5SJG3",TSLA,"Tesla, Inc.",neutral,0.25327122,0.7131998,0.033529025
37411,2021-09-30 05:50:59+00:00,"in honor of $TSLA trademarking the Cyberquad 

here's my most viewed YouTube video from the 2019 Cybertruck launch where I filmed the prototype #cyberquad @elonmusk  https://t.co/PI9yybDz8p",TSLA,"Tesla, Inc.",positive,0.0012431096,0.18376417,0.81499267
37410,2021-09-30 06:38:00+00:00,"🐳 news:

- No debt ceiling passed
- $HOOD 🤝 $SNAP
- $HOOD sold $AMC BEFORE restrictions, #CitadelScandal 
- @federalreserve highest reverse repo ever
- Powell: inflation increasing
- $CEI: 8% AH, ended 📈
- @chamath: sells $TSLA
- Futures 🟢: https://t.co/nH5RI94Tsz https://t.co/4FQSOWIIkK",TSLA,"Tesla, Inc.",neutral,0.1315988,0.78538436,0.08301682
37409,2021-09-30 07:03:37+00:00,"$TSLA $2000? 
My heart says YES 
and my brain says FUCK YES.",TSLA,"Tesla, Inc.",positive,0.20213746,0.2631661,0.53469646
37408,2021-09-30 08:25:10+00:00,gotta love the irony of Carson Block doing his ill-argumented mea culpa and flip flopping on $TSLA while Chamath dance while the music is playing was dumping his stake. Even funnier when you read the transcript about the epiphany being a result of a dream involving Chamath,TSLA,"Tesla, Inc.",positive,0.07425197,0.34535256,0.58039546
37407,2021-09-30 08:57:01+00:00,"No facts to back it up with, but all anecdotal evidence out of China indicates this, yes - also applies to $TSLA https://t.co/3kfnWTWAKX",TSLA,"Tesla, Inc.",neutral,0.12120602,0.7600491,0.11874493
37406,2021-09-30 09:43:02+00:00,"*Tesla Reportedly Loses A China Fraud Case In The Latest Setback In Key Market
$TSLA",TSLA,"Tesla, Inc.",negative,0.63059545,0.34939346,0.020011138
37404,2021-09-30 10:10:37+00:00,"Just a reminder that when $TSLA fell from ATH to the 500s, it had nothing to do with any of the bear thesis. Demand didn’t collapse. Tesla didn’t go bankrupt. Competition didn’t destroy Tesla. Fraud wasn’t exposed.  Etc etc.",TSLA,"Tesla, Inc.",neutral,0.17860954,0.5926405,0.22874995
37403,2021-09-30 10:15:42+00:00,"One very important question for many investors as $TSLA nears its all-time high:  How will $TSLA reinvest its surging FCF in 2022 ($11B+) and beyond? If it goes to new gigafactories, that’s perfect; investors will let their investment in $TSLA ride. https://t.co/Cz3k8UGSGV",TSLA,"Tesla, Inc.",positive,0.023296472,0.2745579,0.70214564
37402,2021-09-30 10:15:42+00:00,"2/If FCF goes to share buybacks, as @freshjiva has endorsed, inst investors like that too, since the IRR is huge. If $TSLA uses its cash to invest in biz in which it does not have a technological edge, not good. Same if TSLA lets the cash build or buys more #BTC, since MROIC ~0.",TSLA,"Tesla, Inc.",negative,0.5208277,0.42105505,0.058117267
37401,2021-09-30 10:22:53+00:00,The media is really pushing hard for their big money clients for $tsla options tomorrow. The sh!t they make up is laughable. Even @SquawkCNBC @JoeSquawk hitting a new low. Does anyone care who sells stock a year ago? Buffett sold $aapl last year too. Talk about that.,TSLA,"Tesla, Inc.",negative,0.78654057,0.18653151,0.026927866
37400,2021-09-30 10:33:32+00:00,Bulls are not bullish enough on 4680 cells. This will be monumental. $TSLA,TSLA,"Tesla, Inc.",neutral,0.3930189,0.39570948,0.21127158
37399,2021-09-30 10:35:26+00:00,"If you’re selling any $tsla shares today based on someone selling their shares a year or so ago, then you don’t deserve to be a shareholder in the first place. I’ll gladly buy your shares.",TSLA,"Tesla, Inc.",negative,0.5298663,0.38739988,0.08273378
37398,2021-09-30 10:53:54+00:00,"$TSLA flat at $781 pre-mkt as equities rose (SPX +0.5% NDX +0.5%, 10yr TY+1.0bp) on hopes Senate will follow last night’s House vote to suspend US debt ceiling (10/18 deadline). $TSLA should move higher into 3Q deliv print Sat. IR survey shows Street @222K; most on Twitter 230K+. https://t.co/R3L4YoB9MQ",TSLA,"Tesla, Inc.",neutral,0.004740449,0.50957,0.48568952
37397,2021-09-30 11:08:13+00:00,"3/ Here’s how $TSLA instit investors think about MROIC:

Gigafactories **** 
Sky-high returns, need capacity to fuel 50% vol growth

Share repurchases ***
High IRR if $TSLA at 1,600+ by 2025

Retire debt **
Use FCF in 2021-22 to get to inv grade credit rating

Cash/#BTC*
MROIC 0%",TSLA,"Tesla, Inc.",neutral,0.03861246,0.77975106,0.18163651
37396,2021-09-30 11:40:31+00:00,"I've seen quite a bit of $TSLA FUD but this goes right to the top of the list. Their conclusion is that by forcing drivers to get a better safety score (driving safe), you can actually make it unsafe. Was this co-written by @lorakolodny?

https://t.co/3BB826ZcQE",TSLA,"Tesla, Inc.",negative,0.5433085,0.40227276,0.054418664
37395,2021-09-30 11:52:07+00:00,Elon Musk liked a tweet from Sawyer Merritt 📈🚀 #Tesla $TSLA https://t.co/ImUAsYSWOf,TSLA,"Tesla, Inc.",positive,0.0030627395,0.23503466,0.76190263
37393,2021-09-30 12:01:05+00:00,"🚨Tesla Explosion At LI Runway Leaves 5 Vehicles Damaged By Fire🚨 https://t.co/w0x15j1JDE ""When police arrived they found a Tesla fully engulfed in flames, causing nearby cars to catch fire""

THESE CARS NEED TO BE REMOVED FROM THE ROAD, LIKE UNEXPLODED MINES!

$TSLA",TSLA,"Tesla, Inc.",negative,0.7379907,0.2294657,0.032543562
37392,2021-09-30 12:19:51+00:00,So many EV startups following $TSLA - there is no way they are riding the hype right? 🤦‍♂️,TSLA,"Tesla, Inc.",negative,0.53743243,0.3878721,0.07469547
37391,2021-09-30 12:21:30+00:00,"Giga Berlin - Looking At Smoke, Some Factory Plants Are ON Now. $TSLA https://t.co/9REi69orV6",TSLA,"Tesla, Inc.",neutral,0.033257924,0.87669957,0.09004244
37390,2021-09-30 12:58:59+00:00,"$TSLA 3Q delivs are likely to be above 230K when they report on Saturday 10/2, vs Street consensus of 222K, per the TSLA IR survey sent out yesterday. I expect China Sept local deliveries to be a record 45K (vs 28K in June), putting to rest any idea China demand has slowed. https://t.co/MW0juCzBXi",TSLA,"Tesla, Inc.",neutral,0.01281999,0.5933972,0.39378282
37389,2021-09-30 13:29:59+00:00,"I’ve got the feeling 🔋 Tesla and horses 🐎 will be the biggest beneficiaries of #Brexit

$TSLA 

https://t.co/nJMGYaUYmw",TSLA,"Tesla, Inc.",positive,0.0155923925,0.26537862,0.719029
37388,2021-09-30 13:40:12+00:00,"When $TSLA next publishes earnings (Q3 ends today), their profitable streak will extend to 9 quarters in a row.

Or- as the Tesla haters of $TSLAQ say:
“9 straight one-time profits”.
😂🤣😂🤣 https://t.co/3cF3F0ZgfN",TSLA,"Tesla, Inc.",positive,0.06057556,0.4616175,0.47780696
37387,2021-09-30 13:50:21+00:00,The biggest $TSLA bull is a dog https://t.co/D06saOkP67,TSLA,"Tesla, Inc.",negative,0.7242504,0.25096118,0.024788471
37386,2021-09-30 13:53:24+00:00,Those that panic sold on Chamath headlines and FUD from CNBC. $TSLA https://t.co/10PZG7SBln,TSLA,"Tesla, Inc.",negative,0.4989175,0.47451437,0.02656813
37385,2021-09-30 14:11:10+00:00,"Is it just me or will Tesla announce deliveries well above what sell-side analysts expect on average? I don't know,  let the expert - @TroyTeslike speak! $TSLA",TSLA,"Tesla, Inc.",neutral,0.113682516,0.53066444,0.35565308
37384,2021-09-30 14:18:28+00:00,These candles today are crazy. $TSLA,TSLA,"Tesla, Inc.",positive,0.039194785,0.2879753,0.6728299
37383,2021-09-30 14:44:26+00:00,"Back in at $780's. 1,500 shares. $TSLA",TSLA,"Tesla, Inc.",neutral,0.015885286,0.8229922,0.16112253
37382,2021-09-30 14:46:47+00:00,"FORD CEO: ""I respect what Tesla has done. In fact, I think Tesla has been one of the most important and positive thing that has happened in our industry."" $TSLA https://t.co/vDLqrIxNSt",TSLA,"Tesla, Inc.",positive,0.0013315511,0.020953856,0.97771454
37381,2021-09-30 15:26:57+00:00,"Boys &amp; Girls, 
it is high time for $TSLA to kiss $800. 
Who is blocking us? Not cool!",TSLA,"Tesla, Inc.",negative,0.78509474,0.1878862,0.027019085
37380,2021-09-30 15:30:48+00:00,"$TSLA Thinking about making a move, double inside day (so far). Nice looking consolidation. https://t.co/o6XHsuoBlp",TSLA,"Tesla, Inc.",positive,0.0023393496,0.10005178,0.8976089
37379,2021-09-30 15:49:39+00:00,"Was $TSLA the greatest gamma squeeze of all time? I explore that question and more, here: 
https://t.co/XVFRfqDC0Q",TSLA,"Tesla, Inc.",neutral,0.05626796,0.78850293,0.15522912
37378,2021-09-30 15:50:11+00:00,"Back in again for 1,500 shares at $780.60. $TSLA",TSLA,"Tesla, Inc.",neutral,0.012216148,0.84119284,0.14659101
37377,2021-09-30 16:03:22+00:00,"Whisper $TSLA delivery numbers are high now...my guess on shareprice reaction next week is:
anything under 230k stock goes down
230-240k stock goes down or remains same
240k+ stock stays same or goes up modestly

ER gross margins surprise will be next big potential catalyst IMO",TSLA,"Tesla, Inc.",neutral,0.072819024,0.6843301,0.24285087
37376,2021-09-30 16:15:19+00:00,A beautiful bull flag is forming in $TSLA. 📈 https://t.co/WHk7Q6Yrx0,TSLA,"Tesla, Inc.",positive,0.0010393547,0.038721044,0.9602396
37375,2021-09-30 16:15:59+00:00,"If @teslashanghai is correct and $TSLA delivers 52K in China domestic in Sept, 3Q delivs could be blowout. My 3Q est of 230K assumes 45K China domestic. Street is at 222K total.

Every 10K delivery beat is worth $.08/sh to EPS (for 3Q, I am at $1.65 vs Street $1.47). https://t.co/X7wvv3EaqO",TSLA,"Tesla, Inc.",neutral,0.024077961,0.5559487,0.41997337
37374,2021-09-30 16:16:14+00:00,"IF shown to be true...

73k domestic sales in China in Q3 is +9.5k increase QoQ (+15%) - in a quarter where Shanghai exported ~56k cars.

This sets up a very strong beat on Q3 and Q4.

$TSLA",TSLA,"Tesla, Inc.",positive,0.002777498,0.108650245,0.8885722
37373,2021-09-30 16:53:51+00:00,"Q3 is officially over for Tesla China, this September has been one of the most busiest month for Tesla China for domestic deliveries. Congratulations to Tesla China Delivery Team. Happy National Holiday! 
#Tesla #TeslaChina #Q3 #特斯拉 #中国 $TSLA https://t.co/IRgNcmZSqC",TSLA,"Tesla, Inc.",positive,0.0010612953,0.01551716,0.9834215
37371,2021-09-30 17:26:03+00:00,The second most important reason I went all-in on $TSLA … https://t.co/VwpP85H59G,TSLA,"Tesla, Inc.",positive,0.0030208193,0.16936933,0.82760984
37369,2021-09-30 17:32:22+00:00,This is so fucked up @chamath $TSLA 👎 https://t.co/Y1VuEkPsHL,TSLA,"Tesla, Inc.",negative,0.9605474,0.035359606,0.004093005
37368,2021-09-30 17:36:57+00:00,"Breaking: Senate passes extension for debt ceiling.

Wow, I can't believe they passed it and I panic sold all my shares. I'm kidding and being sarcastic. 

Like always, it will go forward every time. CNBC will hopefully shut up now about the topic for a month or so. 

$TSLA",TSLA,"Tesla, Inc.",neutral,0.34810898,0.42915443,0.22273655
37366,2021-09-30 17:47:14+00:00,BREAKING: $TSLA short seller goes into hiding https://t.co/ZoA0lR94Wk,TSLA,"Tesla, Inc.",neutral,0.43564758,0.5475732,0.016779233
37365,2021-09-30 17:53:50+00:00,If rumours are true regarding $TSLA blow out China production/delivery # get ready for an onslaught of analyst upgrades next week &amp; prior to earnings call.,TSLA,"Tesla, Inc.",neutral,0.026308985,0.62440974,0.34928128
37364,2021-09-30 18:01:19+00:00,"Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Apple $AAPL: +1,112%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%

@PeterSchiff literally picked the worst performing asset.",TSLA,"Tesla, Inc.",negative,0.5040545,0.40734428,0.088601224
37362,2021-09-30 18:11:55+00:00,$TSLA China numbers starting to leak for September. I won't post till confirmed but Wow.,TSLA,"Tesla, Inc.",neutral,0.094893284,0.5349867,0.37012008
37361,2021-09-30 18:14:22+00:00,"$TSLA SIZE TRIPLE THREAT 🔥

$195 contracts! https://t.co/vMPR6rkNtT",TSLA,"Tesla, Inc.",neutral,0.022561211,0.67271304,0.30472574
37360,2021-09-30 18:37:45+00:00,"Last year when $TSLA was at a $1000 (per-split), I told my dad to buy a 100. He said, “It’s gone up too much, I am gonna wait for a dip”.",TSLA,"Tesla, Inc.",neutral,0.36796913,0.52548534,0.10654551
37359,2021-09-30 18:41:09+00:00,"Tesla Giga Berlin to Receive Final Approval for Construction in November, Say Sources

$TSLA
https://t.co/rKwcEdncg5",TSLA,"Tesla, Inc.",neutral,0.005755778,0.7155879,0.2786563
37358,2021-09-30 18:44:41+00:00,"Has anyone ever published a credible explanation of why @elonmusk had pledged enough shares of $TSLA stock as of June 30, 2021 to borrow nearly exactly $15 billion against it? Where on earth is all of that money going? That would seem to be an important question. https://t.co/fTPXy7zeIb",TSLA,"Tesla, Inc.",negative,0.56141496,0.40862,0.02996505
37357,2021-09-30 18:55:17+00:00,Look at this footage of @Tesla #FSD #Autopilot crashing and making the battery blow up. Hope this tech never goes mainstream. $TSLA @WholeMarsBlog @ICannot_Enough @vincent13031925 @TeslaParaTodos @TroyTeslike https://t.co/cEWoTIW10T,TSLA,"Tesla, Inc.",negative,0.8536479,0.13169606,0.014656096
37356,2021-09-30 19:06:08+00:00,I forgot today was the last day of the qtr. Typical Wall Street BS with all stocks today. $TSLA,TSLA,"Tesla, Inc.",negative,0.6804413,0.27085096,0.048707753
37355,2021-09-30 19:10:10+00:00,"Screw these manipulative MM bitches. I'm in for 2,000 shares at $780.30. $TSLA",TSLA,"Tesla, Inc.",negative,0.8705413,0.115841374,0.01361736
37354,2021-09-30 19:24:03+00:00,"The reason Autopilot is often singled out is that real people actually use it.

Yes, the real world is crazy and unsafe. That doesn’t mean you cower and release nothing. Waymo and others have all had crashes, including at least one fatality, at much smaller scale. @elonmusk $TSLA",TSLA,"Tesla, Inc.",negative,0.64735705,0.3064509,0.046192084
37352,2021-09-30 19:34:00+00:00,AH's will be very jumpy tonight. So will about 5 min before the close. Buckle up. $TSLA,TSLA,"Tesla, Inc.",neutral,0.044105023,0.7087366,0.24715841
37351,2021-09-30 19:34:53+00:00,"GM just removed SuperCruise from the only Cadillac model that had it available as an option. 

Meanwhile, Tesla doesn’t even sell cars without Autopilot. It’s standard on every Model 3 &amp; Y ever sold, and every S &amp; X for at least the last five years. @elonmusk $TSLA",TSLA,"Tesla, Inc.",neutral,0.2903165,0.5754097,0.1342738
37350,2021-09-30 19:40:08+00:00,"There will be two kinds of automotive companies in 2030: 

The ones who nailed autonomy, and the ones who died. $TSLA",TSLA,"Tesla, Inc.",neutral,0.41050738,0.50158554,0.08790709
37349,2021-09-30 19:51:22+00:00,Bought 500 more at $776's. $TSLA,TSLA,"Tesla, Inc.",neutral,0.025062302,0.83043116,0.14450648
37348,2021-09-30 19:54:24+00:00,"Anyone @CNBC @jimcramer @Lebeaucarnews want to report on this? Crickets. 

$TSLA

https://t.co/AMwdcPv0ic",TSLA,"Tesla, Inc.",negative,0.60550743,0.35926285,0.035229705
37347,2021-09-30 19:56:11+00:00,"You just need to ignore the markets and $TSLA today. All of this ""weakness"" is driven by end of qtr BS. Never pans out to anything. Seen this 100 times.",TSLA,"Tesla, Inc.",negative,0.9028099,0.08870995,0.008480139
37346,2021-09-30 19:57:53+00:00,"My estimate for $TSLA stated Production &amp;Delivery:

Both at 242,000.  As always, I utilized the ""what does Elon feel like reporting"" methodology that has had material predictive power.",TSLA,"Tesla, Inc.",neutral,0.07123502,0.67373645,0.25502858
37345,2021-09-30 20:03:48+00:00,$TSLA Double inside day right above support. https://t.co/bVz0FXwGzo,TSLA,"Tesla, Inc.",neutral,0.007940094,0.5974044,0.39465553
37344,2021-09-30 20:27:50+00:00,"End of September 2021 top holdings by percentage of portfolio:

$SHOP 15%
$SE 11%
$MELI 10%
$TSLA 8%
$SQ 6%
$FVRR 4%
$TDOC 5%
$RDFN 5%
$ETSY 5%
$TTD 4%
$NVCR 4%
$ROKU 3%
$CRWD 3%
$JD 2%
$ZM 2%

Return YTD: +0.6%
S&amp;P 500 YTD: +16%",TSLA,"Tesla, Inc.",neutral,0.051520534,0.89497423,0.05350515
37343,2021-09-30 20:57:13+00:00,"Thanks Tesla for the new Austin Texas Gallery&amp; Service Center

500 E St Elmo Rd | Austin- The largest in North America! 

We loveLoveLOVE it 💕💕

 @elonmusk @tesla #tsla #doge https://t.co/ImfZ6jUqSb",TSLA,"Tesla, Inc.",positive,0.0009941154,0.008022584,0.99098325
37342,2021-09-30 21:02:03+00:00,Decided to take Uber Black to the service center since Tesla is paying for it. Sorry shareholders. $TSLA,TSLA,"Tesla, Inc.",neutral,0.19158082,0.58159095,0.22682825
37341,2021-09-30 21:24:37+00:00,"$TSLA Little teaser, more pictures soon 😍🚀🙌🏻

@elonmusk @tesla @WholeMarsBlog https://t.co/lGTOi1pfhl",TSLA,"Tesla, Inc.",positive,0.0009774233,0.07402993,0.9249926
37340,2021-09-30 22:22:07+00:00,"UPDATE on Q3 Delivery Estimates:

* FactSet - 204k
* Wall Street - 221k
* Gary - 226k
* Troy - 235k (today upgrade)
* Twitter Bulls - 230k/240k
* Umbisam - 250k
* Rob/Tesla Daily - 251k (just out)

$TSLA",TSLA,"Tesla, Inc.",neutral,0.05409021,0.8729141,0.07299569
37339,2021-09-30 22:40:57+00:00,"To set the record straight, my comments yesterday about $TSLA and throughout 2021 were not tied to any ownership in the company. I have not owned any $TSLA since BEFORE 2021. I was speaking only as an enthusiastic supporter of the company and its mission.",TSLA,"Tesla, Inc.",neutral,0.15385443,0.62035906,0.22578648
37338,2021-09-30 22:42:36+00:00,"wow. FSD Beta 10.1 is incredibly good. Not perfect, but incredibly good. 

Just drove me from the Berkeley service center back to san francisco in heavy traffic all on its own. recorded video for y’all @elonmusk $tsla",TSLA,"Tesla, Inc.",positive,0.0033241613,0.015666455,0.98100936
37337,2021-09-30 22:53:50+00:00,"♠️#LottoFriday♠️

High risk, secure profits!

$QQQ 363C &gt;362.68 | 357P &lt;351.1
$MSFT 290C &gt;286.68 | 275P &lt;280

$TSLA 790C &gt;789.13 | 765P &lt;770
$NFLX 620C &gt;619 | 595P &lt;600

$MRNA 400C &gt;390 | 375P &lt;380
$CHWY 70c &gt;69.09 | 65P &lt;67.58

Have a wonderful Friday!♠️",TSLA,"Tesla, Inc.",positive,0.002186959,0.081518345,0.91629463
37336,2021-09-30 23:25:07+00:00,@chamath Appreciate the clarification @chamath. We all know how CNBC can take statements out of context. Especially when it’s related to $tsla. Can you clarify your exit price for full disclosure?,TSLA,"Tesla, Inc.",neutral,0.016933158,0.56655216,0.41651472
37335,2021-09-30 23:32:43+00:00,"California DMV today issued autonomous vehicle permits to Cruise and Waymo to charge the public for autonomous rides in select Bay Area cities. To receive permits, vehicles must meet the definition of SAE level 3,4,or 5 autonomous technology. $tsla https://t.co/dvF2DyyPHe",TSLA,"Tesla, Inc.",neutral,0.0053667123,0.6153489,0.37928438
37334,2021-09-30 23:34:41+00:00,"FREE #OPTIONS Ideas 🤯

Scale out when above 25% Profit

$TSLA   790C &gt;788.87 | 775P &lt;775.09
$NIO     36C &gt;35.96 | 35P &lt;35.32
$MU      73C &gt;72.56 | 70P &lt;70.86
$SNAP  76C &gt;75.21 | 72P &lt;72.26

199 ❤️ for MORE SECRET Bonus Picks

$TSLA VERY RARE Double IB last seen in 2020 https://t.co/UU6fvXOrw3",TSLA,"Tesla, Inc.",neutral,0.009864007,0.56184804,0.428288
37333,2021-09-30 23:35:52+00:00,"CORRECTION UPDATE

UPDATE on Q3 Delivery Estimates:

* FactSet - 204k
* Wall Street - 221k
* Gary - 226k
* Troy - 235k (today upgrade)
* Twitter Bulls - 230k/240k
* Wilson FrunkPuppy -240k
* Goldie - 246k
* Rob/Tesla Daily - 247k
* Giddy - 250k
* Umbisam-   &gt;250k
$TSLA https://t.co/BmrwYUJeQB",TSLA,"Tesla, Inc.",neutral,0.09250769,0.8481858,0.059306476
37332,2021-09-30 23:45:17+00:00,"#LottoFriday Watchlist: short &amp; sweet

$AMD over 104.5, 105c
$ROKU over 317, 320c
$NVDA below 207, 205p
$TSLA below 774, 770p

I will be guiding my entries &amp; exits in real time via voice chat at @GAAoptionsVIP 👊

Good luck, traders!",TSLA,"Tesla, Inc.",positive,0.004290205,0.31832978,0.67737997
37331,2021-10-01 00:10:13+00:00,Pelosi still scrambling to find enough votes to bring the $1T infrastructure bill ($550Bnew spend) to the House floor tonight. Progressives still say no deal. $tsla https://t.co/v8qM4gWpFm,TSLA,"Tesla, Inc.",negative,0.563552,0.41180798,0.02463999
